,Original_idx,DOI,adsorbent_hashkey,isotherm_file,temp_C,P_units,ads_units,adsorbent
0,167,10.1002/adfm.201101479,NIST-MATDB-655315f090663b4723680a6683f06403,10.1002adfm.201101479.Isotherm13.json,15,bar,wt%,Zn(BDC)(DMBPY) 0.5
1,168,10.1002/adfm.201101479,NIST-MATDB-655315f090663b4723680a6683f06403,10.1002adfm.201101479.Isotherm14.json,25,bar,wt%,Zn(BDC)(DMBPY) 0.5
2,169,10.1002/adfm.201101479,NIST-MATDB-655315f090663b4723680a6683f06403,10.1002adfm.201101479.Isotherm15.json,30,bar,wt%,Zn(BDC)(DMBPY) 0.5
3,170,10.1002/adfm.201101479,NIST-MATDB-655315f090663b4723680a6683f06403,10.1002adfm.201101479.Isotherm16.json,35,bar,wt%,Zn(BDC)(DMBPY) 0.5
4,171,10.1002/adfm.201101479,NIST-MATDB-8fad47f65fa08c7ac5157aa92c218b1d,10.1002adfm.201101479.Isotherm17.json,15,bar,wt%,Zn(NDC)(DMBPY) 0.5
5,172,10.1002/adfm.201101479,NIST-MATDB-8fad47f65fa08c7ac5157aa92c218b1d,10.1002adfm.201101479.Isotherm18.json,25,bar,wt%,Zn(NDC)(DMBPY) 0.5
6,173,10.1002/adfm.201101479,NIST-MATDB-d049583f6d607e59dc804c4029176dcb,10.1002adfm.201101479.Isotherm19.json,15,bar,wt%,Zn(BDC)(BPY) 0.5
7,175,10.1002/adfm.201101479,NIST-MATDB-d049583f6d607e59dc804c4029176dcb,10.1002adfm.201101479.Isotherm20.json,25,bar,wt%,Zn(BDC)(BPY) 0.5
8,176,10.1002/adfm.201101479,NIST-MATDB-b16ee19c4a2d5d7d2f7e09cb7263392f,10.1002adfm.201101479.Isotherm21.json,15,bar,wt%,Zn(NDC)(BPY) 0.5
9,177,10.1002/adfm.201101479,NIST-MATDB-b16ee19c4a2d5d7d2f7e09cb7263392f,10.1002adfm.201101479.Isotherm22.json,25,bar,wt%,Zn(NDC)(BPY) 0.5
10,192,10.1002/adfm.201101479,NIST-MATDB-655315f090663b4723680a6683f06403,10.1002adfm.201101479.Isotherm5.json,0,bar,wt%,Zn(BDC)(DMBPY) 0.5
11,193,10.1002/adfm.201101479,NIST-MATDB-b16ee19c4a2d5d7d2f7e09cb7263392f,10.1002adfm.201101479.Isotherm6.json,0,bar,wt%,Zn(NDC)(BPY) 0.5
12,194,10.1002/adfm.201101479,NIST-MATDB-d049583f6d607e59dc804c4029176dcb,10.1002adfm.201101479.Isotherm7.json,0,bar,wt%,Zn(BDC)(BPY) 0.5
13,195,10.1002/adfm.201101479,NIST-MATDB-8fad47f65fa08c7ac5157aa92c218b1d,10.1002adfm.201101479.Isotherm8.json,0,bar,wt%,Zn(NDC)(DMBPY) 0.5
14,197,10.1002/adfm.201200084,NIST-MATDB-1b5c20248717ca46ef341e3c5f2c1f30,10.1002adfm.201200084.Isotherm1.json,0,bar,cm3(STP)/g,NH2-MIL-53(Al)
15,201,10.1002/adfm.201200084,NIST-MATDB-1b5c20248717ca46ef341e3c5f2c1f30,10.1002adfm.201200084.Isotherm5.json,25,bar,cm3(STP)/g,NH2-MIL-53(Al)
16,206,10.1002/adfm.201300071,NIST-MATDB-a80a1e83ef7f459705c9a7aa9e199631,10.1002adfm.201300071.isotherm10.json,0,bar,cm3(STP)/g,CCT1
17,207,10.1002/adfm.201300071,NIST-MATDB-a80a1e83ef7f459705c9a7aa9e199631,10.1002adfm.201300071.isotherm11.json,0,bar,cm3(STP)/g,CCT1
18,208,10.1002/adfm.201300071,NIST-MATDB-112c61a276d0376f2f6b25dd3a337b1d,10.1002adfm.201300071.isotherm12.json,0,bar,cm3(STP)/g,CT
19,209,10.1002/adfm.201300071,NIST-MATDB-a80a1e83ef7f459705c9a7aa9e199631,10.1002adfm.201300071.isotherm13.json,0,bar,cm3(STP)/g,CCT1
20,210,10.1002/adfm.201300071,NIST-MATDB-a80a1e83ef7f459705c9a7aa9e199631,10.1002adfm.201300071.isotherm14.json,0,bar,cm3(STP)/g,CCT1
21,211,10.1002/adfm.201300071,NIST-MATDB-a80a1e83ef7f459705c9a7aa9e199631,10.1002adfm.201300071.isotherm15.json,0,bar,cm3(STP)/g,CCT1
22,212,10.1002/adfm.201300071,NIST-MATDB-a80a1e83ef7f459705c9a7aa9e199631,10.1002adfm.201300071.isotherm16.json,0,bar,cm3(STP)/g,CCT1
23,213,10.1002/adfm.201300071,NIST-MATDB-112c61a276d0376f2f6b25dd3a337b1d,10.1002adfm.201300071.isotherm17.json,0,bar,cm3(STP)/g,CT
24,214,10.1002/adfm.201300071,NIST-MATDB-112c61a276d0376f2f6b25dd3a337b1d,10.1002adfm.201300071.isotherm18.json,0,bar,cm3(STP)/g,CT
25,222,10.1002/adfm.201300071,NIST-MATDB-a80a1e83ef7f459705c9a7aa9e199631,10.1002adfm.201300071.isotherm9.json,0,bar,cm3(STP)/g,CCT1
26,227,10.1002/adfm.201301178,NIST-MATDB-80e58ff29f63ec4be2f60ea3948ceaad,10.1002adfm.201301178.Isotherm2.json,-78,bar,ml/g,Zn(OPE) 2H2O
27,260,10.1002/adfm.201502069,NIST-MATDB-a8881f649c6a1c8dc5760b668d3fc1f4,10.1002adfm.201502069.Isotherm10.json,30,bar,mmol/g,DArE@PAF-1 50wt%(Photoswitched)
28,265,10.1002/adfm.201502069,NIST-MATDB-fcbfa05a72a31364cffdbc3fcb55d072,10.1002adfm.201502069.Isotherm6.json,30,bar,mmol/g,PAF-1(Photoswitched)
29,266,10.1002/adfm.201502069,NIST-MATDB-e444d66fc68bec5534b2ef85f89a4145,10.1002adfm.201502069.Isotherm7.json,30,bar,mmol/g,DArE@PAF-1 1wt%(Photoswitched)
