DOI,isotherm_file,temp_C,adsorbent,CO2_capacity (mmol/g)
10.1016/j.jcis.2010.09.065,10.1016j.jcis.2010.09.065.isotherm2b.json,5,Mg-MOF-74,6.296
10.1016/j.jcis.2010.09.065,10.1016j.jcis.2010.09.065.isotherm2a.json,5,Mg-MOF-74,5.901
10.1039/C3ta11548h,10.1039C3ta11548h.isotherm12.json,22,InOF-2-Li+,5.801
10.1039/C3sc51319j,10.1039C3sc51319j.isotherm7.json,5,Mg-MOF-74,5.777
10.1021/Jz3008485,10.1021Jz3008485.Isotherm6.json,25,CuBTC,5.731
10.1016/j.micromeso.2013.06.023,10.1016j.micromeso.2013.06.023.Isotherm12.json,25,Mg-MOF-74 (4),5.325
10.1021/Jp3062527,10.1021Jp3062527.Isotherm1.json,25,Mg-MOF-74,5.275
10.1021/Jp3062527,10.1021Jp3062527.Isotherm2.json,25,Mg-MOF-74,5.107
10.1039/C3sc51319j,10.1039C3sc51319j.isotherm1.json,25,Mg-MOF-74,5.011
10.1021/La205152f,10.1021La205152f.Isotherm1.json,25,Al-rho-MOF,4.88
10.1016/j.ijggc.2013.01.009,10.1016j.ijggc.2013.01.009.Isotherm3.json,25,Mg-MOF-74,4.836
10.1021/Jp3046356,10.1021Jp3046356.Isotherm33.json,25,Mg-MOF-74,4.79
10.1021/Jz3008485,10.1021Jz3008485.Isotherm44.json,25,Mg-MOF-74,4.733
10.1039/C3sc51319j,10.1039C3sc51319j.isotherm8.json,5,CPO-27-Ni,4.634
10.1016/j.jcis.2010.09.065,10.1016j.jcis.2010.09.065.isotherm2d.json,25,Mg-MOF-74,4.603
10.1016/j.micromeso.2013.06.023,10.1016j.micromeso.2013.06.023.Isotherm11.json,25,Mg-MOF-74,4.545
10.1016/j.jcis.2010.09.065,10.1016j.jcis.2010.09.065.isotherm2c.json,25,Mg-MOF-74,4.532
10.1039/C3sc51319j,10.1039C3sc51319j.isotherm11.json,25,Mg-MOF-74,4.521
10.1080/08927022.2011.602974,10.108008927022.2011.602974.Isotherm18.json,25,Al-Rho-ZMOF,4.509
10.1038/Nchem.1432,10.1038Nchem.1432.isotherm1b.json,40,Mg-MOF-74,4.429
10.1021/Jz3008485,10.1021Jz3008485.Isotherm51.json,25,ZIF-8,4.376
10.1038/Nchem.1432,10.1038Nchem.1432.isotherm4a.json,40,Mg-MOF-74,4.346
10.1021/Jp500313j,10.1021Jp500313j.Isotherm10.json,40,Mg-MOF-74,4.292
10.1039/c1ee01720a,10.1039c1ee01720a.isotherm31.json,20,Mg-MOF-74,4.277
10.1021/Jp401923v,10.1021Jp401923v.isotherm5.json,30,Mg-MOF-74,4.268
10.1021/Jz3008485,10.1021Jz3008485.Isotherm52.json,25,ZIF-8,4.267
10.1021/Jz3008485,10.1021Jz3008485.Isotherm49.json,25,ZIF-8,4.162
10.1039/C3ta11548h,10.1039C3ta11548h.isotherm14.json,22,InOF-2,4.149
10.1016/j.egypro.2013.05.098,10.1016j.egypro.2013.05.098.Isotherm1.json,25,USO-2-Ni-MOF,4.106
10.1021/Jz3008485,10.1021Jz3008485.Isotherm66.json,25,UMCM-150,4.067
10.1021/Jz3008485,10.1021Jz3008485.Isotherm72.json,25,UMCM-150N2,4.066
10.2533/chimia.2015.248,10.2533chimia.2015.248.Isotherm6.json,40,MOF Mg-MOF-74,4.019
10.1080/08927022.2011.602974,10.108008927022.2011.602974.Isotherm16.json,25,Mg-Rho-ZMOF,3.997
10.1021/Jz3008485,10.1021Jz3008485.Isotherm50.json,25,ZIF-8,3.922
10.1021/Jz3008485,10.1021Jz3008485.Isotherm53.json,25,ZIF-8,3.91
10.1080/08927022.2011.602974,10.108008927022.2011.602974.Isotherm17.json,25,Sr-Rho-ZMOF,3.877
10.1039/c5ta02357b,10.1039c5ta02357b.Isotherm5.json,25,Mg2(dondc),3.807
10.1021/Ct500094w,10.1021Ct500094w.Isotherm2.json,40,Mg-MOF-74,3.726
10.1021/Jp401923v,10.1021Jp401923v.isotherm6.json,30,Mg-MOF-74,3.666
10.1021/La205152f,10.1021La205152f.Isotherm6.json,25,K-rho-MOF,3.565
10.1021/Jz3008485,10.1021Jz3008485.Isotherm13.json,25,IRMOF-1,3.555
10.1039/c2ee23337a,10.1039c2ee23337a.ISOTHERM18.json,25,Ca-A,3.518
10.1038/Nchem.1432,10.1038Nchem.1432.isotherm1a.json,40,Mg-MOF-74,3.511
