,Unnamed: 0,DOI,adsorbent_hashkey,isotherm_file,temp_C,P_units,ads_units,CO2cap
27,260,10.1002/adfm.201502069,NIST-MATDB-a8881f649c6a1c8dc5760b668d3fc1f4,10.1002adfm.201502069.Isotherm10.json,30,bar,mmol/g,0.0005345825296224855
28,265,10.1002/adfm.201502069,NIST-MATDB-fcbfa05a72a31364cffdbc3fcb55d072,10.1002adfm.201502069.Isotherm6.json,30,bar,mmol/g,0.0005345825296224855
29,266,10.1002/adfm.201502069,NIST-MATDB-e444d66fc68bec5534b2ef85f89a4145,10.1002adfm.201502069.Isotherm7.json,30,bar,mmol/g,0.0005345825296224855
30,267,10.1002/adfm.201502069,NIST-MATDB-c354a25737a46d160dbcebe6d23f72ee,10.1002adfm.201502069.Isotherm8.json,30,bar,mmol/g,0.0005345825296224855
31,268,10.1002/adfm.201502069,NIST-MATDB-0c72526b865dae77fe632a90a7496e7c,10.1002adfm.201502069.Isotherm9.json,30,bar,mmol/g,0.0005345825296224855
37,293,10.1002/adma.200602645,NIST-MATDB-7cb7f2ebc677a987561f61f34f01f965,10.1002adma.200602645.Isotherm1.json,31,bar,mmol/g,0.0005345825296224855
56,361,10.1002/adsu.201700092,NIST-MATDB-86f0ec02124e8670e186f3e87a707e89,10.1002adsu.201700092.Isotherm11.json,25,bar,mmol/g,0.0005345825296224855
57,362,10.1002/adsu.201700092,NIST-MATDB-d6934b6bfd67e4cc829e07b7d1e22e49,10.1002adsu.201700092.Isotherm12.json,25,bar,mmol/g,0.0005345825296224855
58,363,10.1002/adsu.201700092,NIST-MATDB-aa8168e0eaccc317f0e4d55f6cd58d20,10.1002adsu.201700092.Isotherm13.json,25,bar,mmol/g,0.0005345825296224855
84,455,10.1002/Aic.11865,NIST-MATDB-1b4fff6cb48e3c544cb81776c1f1ac76,10.1002Aic.11865.isotherm3.json,25,bar,mmol/g,0.0005345825296224855
85,511,10.1002/Aic.13970,NIST-MATDB-b699807b06891c7f1f32b0be7c081517,10.1002Aic.13970.isotherm10.json,55,bar,mmol/g,0.0005345825296224855
94,532,10.1002/Aic.13970,NIST-MATDB-b2dc02871a66ac38e4b195796cf3e00b,10.1002Aic.13970.isotherm3.json,25,bar,mmol/g,0.0005345825296224855
95,540,10.1002/Aic.13970,NIST-MATDB-b2dc02871a66ac38e4b195796cf3e00b,10.1002Aic.13970.isotherm37.json,25,bar,mmol/g,0.0005345825296224855
96,543,10.1002/Aic.13970,NIST-MATDB-b2dc02871a66ac38e4b195796cf3e00b,10.1002Aic.13970.isotherm4.json,35,bar,mmol/g,0.0005345825296224855
97,547,10.1002/Aic.13970,NIST-MATDB-b699807b06891c7f1f32b0be7c081517,10.1002Aic.13970.isotherm45.json,25,bar,mmol/g,0.0005345825296224855
